"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","695","847","787","814","754","707","869","745","671","190"
"Brussels Hoofdstedelijk Gewest","54","82","81","69","57","59","69","65","56","13"
"Brussel-Hoofdstad","54","82","81","69","57","59","69","65","56","13"
"Brussel (Brussel-Hoofdstad)","54","82","81","69","57","59","69","65","56","13"
"BRUSSEL HOOFDSTAD ELSENE","10","20","16","12","10","12","21","10","14","4"
"Brussel","10","18","9","10","8","9","15","6","13","4"
"Elsene","0","2","7","2","2","3","6","4","1","0"
"BRUSSEL-WEST","8","9","16","7","13","8","10","15","13","1"
"Ganshoren","2","1","1","1","0","1","2","1","1","1"
"Jette","2","1","2","1","0","3","0","3","3","0"
"Koekelberg","1","0","2","1","0","0","1","0","1","0"
"Sint-Agatha-Berchem","0","1","2","2","2","2","1","1","1","0"
"Sint-Jans-Molenbeek","3","6","9","2","11","2","6","10","7","0"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","7","22","15","16","11","11","8","12","11","1"
"Evere","2","1","4","3","3","6","2","5","2","0"
"Schaarbeek","4","17","11","9","6","4","3","5","9","1"
"Sint-Joost-ten-Node","1","4","0","4","2","1","3","2","0","0"
"UKKEL/W-B/OUDERGEM","5","12","6","6","2","8","7","8","4","2"
"Oudergem","2","2","1","0","1","3","3","0","1","1"
"Ukkel","1","9","3","5","1","2","4","7","3","1"
"Watermaal-Bosvoorde","2","1","2","1","0","3","0","1","0","0"
"ZONE MONTGOMERY","6","7","11","11","7","10","3","11","3","1"
"Etterbeek","3","2","5","5","2","3","0","6","2","0"
"Sint-Lambrechts-Woluwe","2","4","4","2","0","5","3","5","1","0"
"Sint-Pieters-Woluwe","1","1","2","4","5","2","0","0","0","1"
"ZONE ZUID","18","12","17","17","14","10","20","9","11","4"
"Anderlecht","11","7","11","7","9","6","13","6","5","2"
"Sint-Gillis","4","4","5","7","3","2","5","1","3","2"
"Vorst","3","1","1","3","2","2","2","2","3","0"
"Vlaams Gewest","320","439","387","389","362","348","416","365","328","96"
"Antwerpen","82","115","111","135","108","123","130","118","109","26"
"Antwerpen","82","115","111","135","108","123","130","118","109","26"
"ANTWERPEN","39","43","52","43","30","30","33","38","23","11"
"Antwerpen","39","43","52","43","30","30","33","38","23","11"
