"Reported criminal offences by type of offence, region and time"

" "," ","2018Q3"
"Nature of the offence, total"
" ","All Denmark",121240
" ","Region Hovedstaden",46391
" ","Copenhagen",21998
" ","Frederiksberg",1745
" ","Dragør",117
" ","Tårnby",2037
" ","Albertslund",618
" ","Ballerup",930
" ","Brøndby",871
" ","Gentofte",1480
" ","Gladsaxe",1237
" ","Glostrup",701
" ","Herlev",693
" ","Hvidovre",1133
" ","Høje-Taastrup",1028
" ","Ishøj",544
" ","Lyngby-Taarbæk",1168
" ","Rødovre",838
" ","Vallensbæk",238
" ","Allerød",2159
" ","Egedal",427
" ","Fredensborg",398
" ","Frederikssund",663
" ","Furesø",455
" ","Gribskov",625
" ","Halsnæs",375
" ","Helsingør",1098
" ","Hillerød",825
" ","Hørsholm",706
" ","Rudersdal",889
" ","Bornholm",395
" ","Christiansø",0
" ","Region Sjælland",14717
" ","Greve",808
" ","Køge",816
" ","Lejre",502
" ","Roskilde",2537
" ","Solrød",273
" ","Faxe",429
" ","Guldborgsund",1035
" ","Holbæk",1071
" ","Kalundborg",625
" ","Lolland",1165
" ","Næstved",1631
" ","Odsherred",559
" ","Ringsted",550
" ","Slagelse",1484
" ","Sorø",372
" ","Stevns",211
" ","Vordingborg",649
" ","Region Syddanmark",20496
" ","Assens",369
" ","Faaborg-Midtfyn",533
" ","Kerteminde",342
" ","Langeland",164
" ","Middelfart",522
" ","Nordfyns",301
" ","Nyborg",489
" ","Odense",3942
" ","Svendborg",744
" ","Ærø",75
" ","Billund",550
" ","Esbjerg",2455
" ","Fanø",67
" ","Fredericia",1104
" ","Haderslev",839
" ","Kolding",1759
" ","Sønderborg",1162
" ","Tønder",695
" ","Varde",725
" ","Vejen",508
" ","Vejle",1769
" ","Aabenraa",1382
" ","Region Midtjylland",23653
" ","Favrskov",426
" ","Hedensted",496
" ","Horsens",1567
" ","Norddjurs",521
" ","Odder",221
" ","Randers",1662
" ","Samsø",80
" ","Silkeborg",1164
" ","Skanderborg",862
" ","Syddjurs",511
" ","Aarhus",7380
" ","Herning",1408
" ","Holstebro",1118
" ","Ikast-Brande",2196
" ","Lemvig",213
" ","Ringkøbing-Skjern",610
" ","Skive",555
" ","Struer",227
" ","Viborg",2436
" ","Region Nordjylland",8712
" ","Brønderslev",426
" ","Frederikshavn",836
" ","Hjørring",820
" ","Jammerbugt",442
" ","Læsø",29
" ","Mariagerfjord",649
" ","Morsø",213
" ","Rebild",295
" ","Thisted",563
" ","Vesthimmerlands",479
" ","Aalborg",3960
" ","Unknown municipality",7271
"Penal Code, total"
" ","All Denmark",88007
" ","Region Hovedstaden",35011
" ","Copenhagen",17409
" ","Frederiksberg",1549
" ","Dragør",106
" ","Tårnby",954
" ","Albertslund",422
" ","Ballerup",703
" ","Brøndby",677
" ","Gentofte",1333
" ","Gladsaxe",955
" ","Glostrup",564
" ","Herlev",541
" ","Hvidovre",909
" ","Høje-Taastrup",740
" ","Ishøj",398
" ","Lyngby-Taarbæk",1057
" ","Rødovre",662
" ","Vallensbæk",193
" ","Allerød",278
" ","Egedal",349
" ","Fredensborg",331
" ","Frederikssund",519
" ","Furesø",352
" ","Gribskov",488
" ","Halsnæs",308
" ","Helsingør",866
" ","Hillerød",682
" ","Hørsholm",633
" ","Rudersdal",779
" ","Bornholm",254
" ","Christiansø",0
" ","Region Sjælland",10723
" ","Greve",618
" ","Køge",638
" ","Lejre",442
" ","Roskilde",1744
" ","Solrød",220
" ","Faxe",354
" ","Guldborgsund",750
" ","Holbæk",773
" ","Kalundborg",479
" ","Lolland",754
" ","Næstved",1018
" ","Odsherred",436
" ","Ringsted",416
" ","Slagelse",1102
" ","Sorø",291
" ","Stevns",167
" ","Vordingborg",521
" ","Region Syddanmark",14813
" ","Assens",294
" ","Faaborg-Midtfyn",403
" ","Kerteminde",289
" ","Langeland",138
" ","Middelfart",416
" ","Nordfyns",246
" ","Nyborg",369
" ","Odense",3215
" ","Svendborg",551
" ","Ærø",40
" ","Billund",382
" ","Esbjerg",1656
" ","Fanø",48
" ","Fredericia",753
" ","Haderslev",581
" ","Kolding",1230
" ","Sønderborg",852
" ","Tønder",412
" ","Varde",543
" ","Vejen",351
" ","Vejle",1338
" ","Aabenraa",706
" ","Region Midtjylland",16720
" ","Favrskov",337
" ","Hedensted",361
" ","Horsens",1074
" ","Norddjurs",337
" ","Odder",167
" ","Randers",1170
" ","Samsø",45
" ","Silkeborg",914
" ","Skanderborg",651
