"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"930325";"833400";"783290";"576445";"502865";"457880";"498285";"428405";"380290";"8990";"7985";"7880";"489295";"420420";"372410";"45150";"39465";"41730";"42235";"37060";"39660";"5";"0";"5";"2915";"2405";"2070";"24710";"27395";"27640";"1980";"1605";"1430";"250";"200";"185";"22480";"25590";"26030";"5845";"5255";"5485";"1665";"1520";"1765";"180";"115";"95";"610";"700";"860";"0";"0";"5";"115525";"102150";"93265";"94525";"81600";"72090";"43910";"37785";"32795";"1365";"1135";"920";"1100";"1380";"845";"0";"0";"0";"48145";"41300";"37530";"11245";"11170";"11450";"4490";"4475";"4170";"3735";"3825";"3630";"750";"650";"540";"2535";"2345";"2570";"430";"365";"325";"1875";"2310";"2885";"565";"405";"415";"1350";"1270";"1080";"4800";"4700";"4560";"4955";"4685";"5165";"2965";"2895";"2915";"890";"785";"1335";"450";"390";"335";"370";"305";"185";"280";"310";"395";"90200";"85360";"83120";"46990";"44800";"43025";"29690";"27050";"26060";"26760";"24230";"23115";"2930";"2820";"2945";"8235";"8415";"8990";"2220";"2210";"2365";"1535";"1760";"1900";"1380";"1275";"1300";"860";"870";"860";"445";"420";"340";"530";"550";"635";"1265";"1335";"1585";"3120";"3005";"2895";"420";"395";"425";"730";"715";"795";"1020";"980";"930";"11210";"10530";"10890";"114830";"111930";"116740";"78750";"76995";"79270";"26475";"25805";"28545";"4215";"4310";"4650";"90";"70";"85";"660";"645";"705";"300";"250";"255";"380";"340";"515";"3955";"3510";"2710";"13275";"12550";"13260";"6760";"6580";"7045";"6295";"5750";"6025";"220";"220";"190";"5415";"4750";"5455";"3425";"3265";"2675";"30";"20";"25";"3395";"3245";"2650"
"Noord-Nederland (RE)";"72830";"62910";"61540";"43355";"34745";"33365";"36130";"27670";"25820";"390";"365";"320";"35740";"27300";"25500";"4650";"4055";"4285";"4375";"3855";"4115";"0";"0";"0";"275";"200";"170";"2170";"2535";"2645";"195";"120";"140";"10";"10";"5";"1960";"2410";"2500";"265";"285";"355";"115";"140";"200";"15";"10";"15";"15";"50";"40";"0";"0";"0";"10535";"9815";"9245";"8905";"8260";"7240";"3540";"3605";"2875";"150";"140";"110";"35";"30";"30";"0";"0";"0";"5180";"4485";"4225";"980";"965";"1295";"285";"235";"295";"230";"190";"235";"55";"45";"60";"255";"255";"300";"50";"50";"45";"160";"210";"460";"50";"35";"40";"180";"175";"160";"395";"395";"415";"260";"195";"295";"170";"105";"185";"35";"40";"60";"30";"30";"30";"15";"5";"10";"10";"15";"10";"8585";"8230";"8000";"4565";"4325";"4210";"2545";"2445";"2275";"2265";"2145";"1975";"280";"295";"300";"960";"955";"1045";"205";"210";"215";"165";"170";"165";"145";"155";"175";"90";"70";"90";"45";"50";"65";"75";"70";"70";"235";"230";"265";"290";"300";"235";"30";"30";"35";"50";"75";"85";"140";"110";"115";"850";"810";"890";"7950";"7835";"8510";"4940";"4730";"5045";"2255";"2325";"2760";"355";"400";"380";"5";"5";"10";"50";"45";"35";"25";"20";"25";"25";"30";"35";"305";"280";"215";"910";"920";"935";"425";"400";"445";"470";"505";"485";"10";"15";"10";"270";"280";"310";"365";"275";"285";"0";"0";"0";"365";"275";"285"
"Oost-Nederland (RE)";"141375";"125115";"118380";"86895";"73840";"67815";"73340";"61015";"54100";"880";"620";"750";"72465";"60395";"53355";"8315";"7305";"8035";"7870";"6915";"7720";"0";"0";"0";"440";"390";"315";"3975";"4330";"4395";"280";"295";"195";"40";"30";"25";"3655";"4010";"4180";"935";"885";"925";"250";"240";"270";"20";"5";"10";"55";"55";"80";"0";"0";"0";"18745";"16420";"14845";"15610";"13395";"11685";"6870";"5855";"5110";"275";"240";"150";"180";"135";"110";"0";"0";"0";"8285";"7170";"6315";"1530";"1615";"1640";"600";"700";"660";"515";"615";"580";"85";"85";"75";"405";"380";"470";"75";"55";"40";"215";"275";"290";"80";"40";"55";"160";"165";"130";"960";"820";"745";"645";"585";"775";"350";"325";"355";"130";"100";"250";"80";"65";"50";"30";"20";"15";"55";"80";"110";"13695";"13165";"12860";"7210";"6885";"6600";"4360";"3995";"3690";"3945";"3545";"3290";"415";"450";"400";"1395";"1535";"1860";"335";"370";"485";"230";"290";"390";"280";"300";"255";"185";"175";"240";"75";"70";"45";"90";"100";"135";"195";"230";"305";"445";"435";"375";"40";"55";"50";"100";"100";"120";"145";"155";"165";"1995";"1895";"1900";"16965";"16885";"17970";"11600";"11675";"12205";"3760";"3715";"4450";"565";"575";"595";"10";"10";"10";"85";"75";"85";"55";"50";"35";"35";"35";"75";"855";"745";"520";"1665";"1645";"1750";"835";"815";"810";"795";"795";"910";"30";"35";"35";"810";"675";"785";"605";"585";"445";"15";"5";"10";"590";"580";"435"
"Midden-Nederland (RE)";"105605";"96670";"92155";"68495";"62335";"57475";"59250";"53570";"48255";"915";"730";"660";"58330";"52835";"47595";"5235";"4575";"4840";"4875";"4310";"4630";"0";"0";"0";"360";"265";"210";"3100";"3310";"3460";"260";"195";"210";"25";"20";"20";"2810";"3095";"3230";"665";"620";"615";"175";"205";"205";"15";"20";"15";"60";"40";"85";"0";"0";"0";"13165";"11670";"10865";"10735";"9485";"8520";"5065";"4480";"3875";"120";"135";"130";"200";"190";"95";"0";"0";"0";"5350";"4675";"4420";"1400";"1305";"1285";"570";"515";"485";"460";"435";"420";"110";"85";"65";"275";"260";"305";"40";"40";"30";"310";"320";"300";"60";"40";"55";"145";"130";"110";"590";"525";"580";"440";"355";"480";"210";"165";"245";"115";"90";"115";"55";"40";"50";"20";"10";"10";"35";"50";"60";"8645";"8100";"7940";"4660";"4460";"4165";"2765";"2525";"2520";"2550";"2355";"2235";"215";"170";"285";"715";"715";"820";"210";"180";"235";"130";"130";"145";"115";"130";"120";"65";"75";"85";"45";"40";"25";"45";"45";"60";"105";"110";"150";"290";"225";"265";"40";"40";"40";"50";"35";"40";"130";"100";"85";"1370";"1255";"1355";"11830";"11275";"12555";"7955";"7555";"8225";"2780";"2740";"3450";"500";"475";"495";"10";"5";"10";"65";"75";"55";"40";"30";"25";"65";"55";"70";"410";"340";"225";"1355";"1295";"1210";"615";"625";"520";"725";"665";"675";"15";"10";"15";"450";"400";"475";"295";"340";"280";"5";"0";"5";"295";"335";"280"
"Noord-Holland (RE)";"75945";"64795";"61785";"44110";"36570";"33940";"37355";"30240";"27510";"575";"475";"485";"36780";"29765";"27025";"4150";"3620";"3830";"3950";"3450";"3695";"5";"0";"5";"195";"165";"135";"1810";"2055";"1870";"160";"140";"115";"20";"10";"10";"1630";"1910";"1745";"610";"500";"555";"140";"110";"120";"10";"5";"5";"40";"40";"50";"0";"0";"0";"11300";"9750";"8500";"9495";"7930";"6765";"4325";"3695";"3205";"120";"90";"60";"40";"45";"20";"0";"0";"0";"5010";"4095";"3480";"1075";"1185";"1075";"395";"415";"310";"335";"355";"275";"60";"60";"40";"220";"170";"145";"25";"25";"25";"290";"475";"500";"40";"25";"25";"110";"75";"70";"405";"400";"420";"325";"235";"245";"190";"135";"135";"55";"35";"55";"45";"40";"30";"10";"15";"5";"20";"15";"20";"7395";"6515";"6335";"4100";"3655";"3535";"2290";"1915";"1865";"2045";"1725";"1680";"245";"190";"180";"640";"590";"585";"170";"145";"130";"120";"135";"140";"85";"70";"95";"75";"70";"50";"40";"45";"25";"55";"40";"60";"90";"90";"85";"185";"185";"200";"30";"25";"25";"65";"60";"60";"85";"85";"65";"885";"705";"635";"10125";"9365";"10295";"6630";"6120";"6700";"2625";"2430";"2725";"345";"380";"450";"10";"10";"10";"40";"35";"30";"35";"25";"30";"45";"40";"60";"395";"330";"290";"1265";"1175";"1400";"840";"775";"980";"420";"395";"410";"5";"5";"10";"580";"465";"465";"290";"245";"215";"0";"0";"0";"290";"240";"215"
"Amsterdam (RE)";"101065";"95650";"90035";"71820";"66900";"62215";"65035";"60225";"55335";"2085";"1905";"2000";"62950";"58320";"53335";"3270";"2965";"2980";"2950";"2665";"2720";"0";"0";"0";"320";"300";"260";"2565";"2870";"2920";"220";"145";"110";"40";"15";"25";"2310";"2705";"2785";"670";"585";"660";"185";"150";"190";"15";"20";"10";"75";"85";"115";"0";"0";"0";"8565";"8570";"7790";"5935";"5625";"4940";"2515";"2180";"2045";"120";"95";"85";"300";"545";"255";"0";"0";"0";"3005";"2805";"2555";"1185";"1065";"1175";"355";"310";"285";"300";"250";"255";"55";"55";"30";"295";"235";"285";"55";"45";"35";"235";"265";"360";"90";"55";"60";"150";"150";"150";"270";"270";"240";"1170";"1615";"1430";"875";"1355";"1100";"95";"115";"200";"20";"25";"30";"160";"110";"90";"15";"10";"10";"9320";"8650";"8345";"4865";"4595";"4330";"3280";"2940";"2825";"3000";"2630";"2520";"280";"310";"305";"640";"645";"690";"270";"260";"265";"160";"175";"210";"95";"60";"85";"50";"55";"55";"25";"25";"15";"15";"30";"20";"30";"35";"40";"340";"310";"310";"65";"65";"60";"95";"70";"90";"35";"30";"35";"970";"930";"1085";"8150";"8535";"8475";"5510";"5975";"6090";"1805";"1800";"1710";"425";"370";"345";"10";"10";"10";"65";"50";"55";"20";"15";"15";"10";"10";"10";"305";"300";"240";"1450";"1375";"1405";"1045";"1020";"1070";"375";"340";"325";"30";"15";"10";"600";"515";"555";"195";"165";"165";"0";"0";"0";"195";"165";"165"
"Den Haag (RE)";"105260";"94310";"87035";"63145";"55070";"48360";"54575";"46685";"40005";"915";"905";"825";"53660";"45780";"39180";"4655";"4255";"4375";"4340";"3975";"4120";"0";"0";"0";"315";"280";"255";"2825";"3250";"3115";"180";"155";"150";"45";"60";"35";"2600";"3030";"2930";"765";"620";"540";"215";"175";"205";"40";"10";"10";"70";"80";"110";"0";"0";"0";"12400";"10680";"9825";"10280";"8595";"7830";"5065";"4060";"3605";"165";"150";"135";"50";"50";"40";"0";"0";"0";"5005";"4340";"4050";"1020";"1050";"1030";"395";"385";"365";"270";"305";"305";"125";"85";"65";"270";"270";"245";"20";"25";"30";"155";"175";"230";"50";"55";"60";"130";"140";"105";"465";"520";"455";"635";"515";"510";"330";"270";"265";"150";"105";"150";"60";"50";"45";"50";"45";"15";"45";"40";"40";"10120";"9950";"9935";"5325";"5280";"5075";"3400";"3320";"3410";"3055";"2960";"3030";"345";"360";"380";"855";"845";"965";"235";"225";"265";"135";"180";"190";"195";"140";"145";"90";"90";"85";"45";"35";"40";"50";"50";"75";"100";"130";"160";"305";"285";"275";"40";"50";"40";"75";"55";"50";"120";"115";"125";"1535";"1375";"1450";"15795";"15185";"15580";"10165";"10190";"10095";"4350";"3830";"4310";"630";"580";"660";"25";"15";"15";"65";"70";"85";"35";"30";"40";"70";"55";"75";"455";"415";"300";"1370";"1305";"1175";"565";"600";"590";"795";"685";"575";"10";"20";"15";"560";"455";"490";"330";"290";"225";"0";"0";"0";"330";"290";"225"
"Rotterdam (RE)";"113305";"103105";"93405";"67855";"60925";"52220";"59225";"52595";"43795";"1675";"1600";"1455";"57545";"50995";"42340";"4655";"4145";"4295";"4325";"3850";"4010";"0";"0";"0";"335";"290";"285";"2960";"3280";"3190";"240";"180";"185";"20";"20";"25";"2700";"3080";"2980";"595";"525";"545";"220";"195";"215";"20";"10";"10";"170";"180";"175";"0";"0";"0";"13825";"11980";"10905";"11215";"9520";"8485";"5400";"4665";"3855";"115";"80";"80";"175";"190";"225";"0";"0";"0";"5525";"4585";"4325";"1525";"1610";"1535";"810";"910";"820";"675";"765";"720";"140";"145";"95";"230";"175";"185";"30";"30";"30";"150";"230";"310";"110";"85";"50";"195";"180";"145";"510";"460";"455";"575";"390";"430";"335";"155";"185";"125";"115";"150";"40";"60";"35";"40";"35";"20";"30";"25";"35";"11315";"10850";"10375";"5525";"5495";"5270";"3920";"3540";"3475";"3565";"3225";"3115";"360";"315";"360";"1040";"1030";"925";"325";"290";"245";"235";"235";"195";"125";"105";"130";"100";"135";"110";"75";"55";"55";"50";"70";"65";"130";"140";"130";"565";"520";"420";"70";"60";"80";"70";"75";"70";"125";"125";"135";"1190";"1250";"1225";"16080";"15525";"15935";"11215";"10920";"11295";"3590";"3490";"3405";"610";"565";"690";"15";"5";"10";"100";"75";"105";"40";"25";"30";"70";"65";"90";"435";"380";"315";"1660";"1415";"1570";"835";"780";"890";"805";"615";"660";"25";"20";"15";"900";"645";"755";"485";"520";"415";"0";"0";"0";"485";"520";"415"
