"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groningen (PV)";"29570";"25250";"24100";"18515";"14240";"13505";"15875";"11695";"10905";"195";"195";"155";"15685";"11500";"10755";"1650";"1415";"1450";"1540";"1335";"1390";"0";"0";"0";"110";"80";"55";"830";"925";"915";"75";"50";"65";"0";"5";"0";"750";"870";"850";"105";"115";"130";"40";"55";"80";"5";"5";"5";"5";"30";"20";"0";"0";"0";"3900";"3945";"3480";"3340";"3370";"2740";"1365";"1650";"1075";"55";"60";"35";"10";"10";"15";"0";"0";"0";"1915";"1650";"1615";"340";"355";"465";"100";"110";"120";"85";"95";"85";"15";"15";"30";"100";"100";"120";"30";"20";"20";"60";"60";"170";"20";"15";"15";"35";"45";"25";"130";"150";"175";"90";"70";"105";"60";"35";"65";"10";"15";"20";"10";"15";"10";"5";"5";"5";"0";"5";"5";"3565";"3415";"3205";"1870";"1805";"1690";"1100";"1035";"945";"975";"915";"815";"125";"120";"130";"390";"360";"385";"85";"85";"65";"75";"55";"70";"55";"65";"65";"30";"20";"30";"20";"20";"30";"20";"25";"20";"100";"90";"110";"115";"115";"95";"15";"10";"15";"30";"50";"35";"50";"40";"35";"315";"300";"310";"2725";"2790";"2970";"1755";"1685";"1785";"740";"835";"950";"115";"150";"130";"0";"0";"5";"15";"10";"5";"10";"5";"5";"15";"5";"15";"75";"95";"70";"365";"365";"400";"145";"125";"165";"215";"235";"230";"5";"5";"5";"90";"105";"125";"100";"90";"100";"0";"0";"0";"100";"90";"100"
"Friesland (PV)";"24600";"21210";"21875";"13860";"11240";"11415";"11235";"8550";"8520";"95";"75";"90";"11140";"8475";"8435";"1750";"1560";"1700";"1685";"1500";"1635";"0";"0";"0";"65";"60";"65";"730";"980";"980";"55";"50";"35";"5";"5";"5";"675";"925";"940";"90";"95";"130";"40";"40";"65";"5";"0";"5";"5";"10";"10";"0";"0";"0";"3825";"3470";"3500";"3175";"2880";"2670";"1310";"1100";"1120";"50";"45";"30";"15";"15";"15";"0";"0";"0";"1800";"1720";"1505";"410";"395";"570";"100";"70";"115";"65";"50";"95";"30";"15";"20";"115";"110";"150";"10";"25";"20";"55";"90";"165";"15";"10";"15";"120";"100";"105";"135";"120";"120";"105";"75";"140";"70";"40";"90";"15";"15";"35";"10";"10";"10";"5";"0";"5";"0";"5";"5";"2840";"2645";"2745";"1515";"1385";"1470";"825";"765";"745";"740";"670";"650";"90";"95";"95";"330";"335";"345";"70";"60";"80";"45";"70";"55";"50";"50";"55";"40";"30";"30";"20";"15";"20";"25";"25";"25";"80";"80";"80";"100";"90";"70";"10";"10";"10";"10";"20";"40";"45";"45";"60";"320";"325";"365";"3170";"2985";"3280";"1790";"1720";"1805";"1010";"935";"1175";"175";"165";"155";"0";"0";"5";"15";"15";"15";"10";"10";"10";"5";"15";"15";"160";"125";"100";"335";"345";"355";"190";"185";"210";"140";"160";"145";"5";"0";"0";"85";"90";"95";"165";"100";"115";"0";"0";"0";"165";"100";"115"
"Drenthe (PV)";"18660";"16455";"15565";"10985";"9265";"8440";"9020";"7425";"6390";"100";"95";"80";"8920";"7330";"6315";"1250";"1080";"1135";"1145";"1025";"1090";"0";"0";"0";"105";"55";"45";"605";"630";"750";"65";"20";"40";"5";"0";"0";"535";"610";"705";"70";"75";"95";"30";"45";"55";"5";"5";"5";"5";"10";"10";"0";"0";"0";"2815";"2400";"2265";"2385";"2015";"1830";"870";"855";"685";"45";"35";"45";"10";"5";"5";"0";"0";"0";"1465";"1120";"1100";"230";"215";"260";"90";"60";"60";"80";"45";"55";"10";"15";"10";"45";"45";"30";"5";"5";"5";"45";"60";"125";"15";"10";"10";"30";"30";"30";"135";"125";"120";"65";"45";"50";"40";"30";"35";"10";"10";"10";"5";"5";"5";"0";"0";"0";"5";"5";"0";"2185";"2170";"2055";"1180";"1130";"1050";"620";"645";"590";"555";"560";"515";"70";"85";"75";"240";"260";"315";"50";"65";"70";"45";"45";"40";"40";"40";"55";"20";"20";"30";"5";"15";"20";"25";"20";"25";"55";"55";"80";"80";"95";"70";"5";"10";"10";"10";"10";"5";"45";"25";"20";"215";"185";"210";"2055";"2055";"2260";"1390";"1330";"1455";"505";"555";"630";"65";"90";"100";"0";"0";"0";"20";"20";"10";"5";"5";"10";"5";"5";"10";"70";"55";"45";"210";"210";"180";"95";"85";"70";"115";"115";"105";"0";"10";"0";"95";"85";"85";"100";"80";"70";"0";"0";"0";"100";"80";"70"
"Overijssel (PV)";"48590";"43420";"41970";"29710";"25150";"23520";"24930";"20705";"18715";"270";"185";"220";"24665";"20520";"18490";"3010";"2550";"2850";"2860";"2425";"2735";"0";"0";"0";"150";"130";"115";"1390";"1495";"1530";"125";"100";"65";"10";"15";"15";"1250";"1380";"1455";"295";"310";"310";"70";"70";"75";"5";"0";"5";"10";"15";"35";"0";"0";"0";"6255";"5820";"5405";"5240";"4720";"4280";"2090";"1970";"1825";"115";"120";"60";"25";"10";"10";"0";"0";"0";"3005";"2620";"2385";"490";"595";"625";"170";"235";"260";"150";"195";"235";"20";"35";"20";"145";"135";"175";"35";"25";"15";"65";"125";"105";"25";"10";"20";"50";"65";"45";"320";"275";"285";"205";"225";"215";"100";"95";"85";"45";"50";"75";"35";"25";"15";"5";"10";"5";"20";"45";"35";"4775";"4670";"4570";"2465";"2460";"2355";"1575";"1390";"1295";"1430";"1235";"1150";"145";"155";"145";"480";"570";"665";"120";"155";"165";"65";"95";"140";"115";"110";"100";"55";"55";"85";"30";"30";"10";"35";"35";"50";"60";"85";"120";"165";"155";"135";"20";"15";"20";"35";"30";"40";"30";"45";"55";"665";"620";"635";"6050";"6195";"6720";"4315";"4440";"4755";"1220";"1240";"1500";"185";"185";"195";"5";"5";"0";"25";"20";"35";"10";"15";"15";"10";"5";"25";"275";"280";"190";"620";"550";"650";"275";"250";"260";"330";"285";"370";"15";"15";"15";"320";"245";"330";"195";"170";"145";"0";"0";"0";"190";"170";"140"
"Flevoland (PV)";"20830";"18680";"18230";"11960";"10435";"10170";"9865";"8610";"8075";"255";"220";"205";"9610";"8390";"7865";"1185";"975";"1120";"1120";"925";"1080";"0";"0";"0";"65";"50";"40";"730";"705";"775";"75";"60";"70";"0";"0";"0";"650";"645";"705";"125";"95";"125";"45";"45";"55";"5";"5";"10";"10";"0";"15";"0";"0";"0";"2875";"2500";"2340";"2325";"2035";"1840";"935";"810";"760";"20";"35";"30";"145";"140";"55";"0";"0";"0";"1225";"1055";"1000";"335";"285";"280";"120";"110";"100";"100";"95";"85";"20";"15";"15";"55";"40";"50";"20";"15";"5";"70";"70";"85";"15";"10";"10";"55";"40";"25";"130";"120";"120";"85";"60";"100";"35";"15";"30";"20";"15";"35";"15";"15";"15";"0";"0";"5";"10";"10";"20";"2395";"2210";"2085";"1320";"1260";"1115";"750";"695";"670";"700";"650";"610";"45";"45";"60";"185";"165";"195";"60";"30";"55";"40";"35";"25";"15";"25";"20";"20";"15";"25";"10";"10";"5";"20";"20";"20";"20";"30";"45";"85";"50";"70";"5";"10";"10";"15";"10";"10";"35";"20";"15";"275";"300";"320";"2535";"2455";"2695";"1515";"1540";"1660";"725";"645";"840";"135";"140";"115";"5";"0";"0";"10";"5";"5";"5";"5";"5";"20";"15";"20";"125";"100";"50";"605";"580";"400";"315";"330";"150";"285";"250";"245";"0";"0";"5";"110";"110";"140";"75";"85";"85";"0";"0";"0";"75";"85";"85"
"Gelderland (PV)";"92785";"81690";"76405";"57180";"48690";"44295";"48410";"40305";"35390";"610";"435";"530";"47800";"39875";"34860";"5305";"4755";"5185";"5010";"4490";"4985";"0";"0";"0";"295";"260";"200";"2585";"2835";"2865";"155";"195";"130";"30";"15";"10";"2405";"2630";"2725";"640";"575";"615";"180";"175";"195";"15";"5";"5";"45";"40";"45";"0";"0";"0";"12490";"10600";"9440";"10370";"8675";"7405";"4780";"3880";"3285";"160";"115";"90";"150";"125";"100";"0";"0";"0";"5280";"4555";"3930";"1040";"1020";"1015";"430";"465";"400";"360";"415";"345";"65";"50";"55";"260";"245";"295";"40";"30";"25";"150";"150";"180";"55";"30";"35";"110";"100";"85";"640";"545";"460";"440";"360";"560";"255";"230";"265";"85";"45";"175";"50";"40";"35";"20";"10";"10";"35";"35";"75";"8920";"8495";"8290";"4745";"4425";"4245";"2785";"2605";"2395";"2515";"2305";"2140";"270";"300";"255";"910";"965";"1195";"220";"215";"320";"165";"195";"255";"160";"185";"155";"135";"125";"155";"45";"40";"35";"55";"60";"85";"135";"145";"185";"275";"280";"240";"20";"40";"30";"70";"70";"80";"115";"115";"105";"1330";"1275";"1265";"10915";"10690";"11250";"7290";"7235";"7450";"2540";"2475";"2950";"380";"395";"395";"5";"5";"5";"60";"55";"50";"45";"35";"20";"25";"25";"50";"580";"465";"325";"1045";"1095";"1105";"560";"565";"545";"465";"515";"540";"15";"20";"20";"490";"430";"455";"410";"415";"305";"15";"5";"10";"395";"410";"295"
"Utrecht (PV)";"72070";"66545";"63195";"48535";"44715";"40850";"42525";"38845";"34860";"550";"435";"390";"41975";"38410";"34470";"3400";"3025";"3130";"3150";"2845";"2980";"0";"0";"0";"250";"175";"145";"1955";"2205";"2250";"160";"120";"130";"25";"20";"15";"1770";"2070";"2105";"495";"475";"425";"105";"120";"120";"10";"10";"10";"45";"35";"60";"0";"0";"0";"8445";"7640";"7040";"6810";"6115";"5400";"3330";"3015";"2500";"85";"90";"90";"45";"45";"40";"0";"0";"0";"3345";"2970";"2770";"905";"900";"885";"395";"375";"345";"320";"310";"310";"75";"60";"35";"200";"195";"235";"15";"20";"20";"200";"215";"185";"30";"25";"35";"70";"70";"65";"405";"360";"420";"325";"260";"340";"165";"125";"190";"85";"70";"70";"35";"25";"35";"15";"10";"10";"20";"30";"35";"5250";"4935";"4930";"2795";"2645";"2565";"1685";"1530";"1545";"1545";"1425";"1355";"135";"105";"190";"460";"490";"545";"135";"140";"165";"80";"80";"100";"85";"95";"90";"35";"55";"50";"25";"25";"15";"20";"25";"35";"70";"70";"90";"180";"145";"160";"25";"30";"30";"30";"25";"30";"70";"75";"60";"950";"825";"920";"7755";"7330";"8310";"5325";"5025";"5475";"1745";"1700";"2230";"330";"295";"325";"5";"0";"5";"50";"60";"45";"30";"20";"20";"40";"40";"45";"225";"195";"165";"655";"630";"695";"280";"275";"305";"365";"350";"380";"10";"5";"10";"305";"265";"295";"180";"205";"155";"5";"0";"5";"175";"200";"150"
"Noord-Holland (PV)";"189710";"171890";"162550";"123930";"110650";"102610";"109250";"96575";"88170";"2775";"2460";"2550";"106480";"94120";"85620";"8070";"7165";"7405";"7505";"6655";"6985";"5";"0";"5";"560";"505";"420";"4790";"5325";"5225";"405";"305";"240";"60";"25";"35";"4325";"4995";"4950";"1330";"1135";"1280";"345";"295";"340";"25";"25";"15";"120";"130";"170";"0";"0";"0";"21710";"19850";"17775";"17035";"14880";"12990";"7635";"6535";"5865";"260";"200";"160";"350";"595";"275";"0";"0";"0";"8795";"7550";"6690";"2420";"2365";"2375";"805";"755";"635";"675";"635";"550";"130";"120";"85";"540";"430";"445";"85";"75";"60";"565";"770";"890";"145";"90";"95";"280";"245";"245";"730";"715";"705";"1525";"1890";"1710";"1080";"1520";"1255";"155";"150";"270";"75";"65";"60";"175";"120";"95";"45";"35";"35";"17710";"16120";"15600";"9505";"8810";"8350";"5900";"5155";"4995";"5345";"4640";"4470";"555";"515";"525";"1350";"1295";"1360";"455";"415";"415";"290";"320";"365";"195";"145";"190";"130";"130";"115";"75";"80";"45";"75";"70";"85";"130";"135";"145";"550";"525";"545";"105";"90";"90";"160";"125";"155";"140";"120";"110";"2000";"1770";"1830";"19805";"19395";"20320";"13255";"13090";"13880";"4740";"4625";"4815";"805";"790";"850";"20";"20";"25";"115";"90";"90";"55";"45";"45";"60";"55";"75";"760";"675";"545";"2815";"2635";"2925";"1910";"1815";"2115";"870";"800";"785";"35";"25";"20";"1210";"1005";"1055";"525";"460";"425";"0";"0";"0";"525";"460";"425"
