"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Appingedam";"475";"415";"420";"280";"210";"195";"220";"165";"150";"5";"5";"0";"215";"160";"145";"45";"25";"25";"45";"25";"25";"0";"0";"0";"0";"0";"0";"15";"15";"10";"5";"5";"0";"0";"0";"0";"10";"10";"10";"0";"5";"5";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"55";"70";"50";"40";"50";"30";"15";"20";"0";"5";"0";"0";"0";"0";"0";"0";"0";"25";"20";"30";"0";"5";"20";"0";"5";"5";"0";"5";"5";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"80";"80";"40";"45";"45";"25";"25";"20";"20";"20";"20";"5";"5";"5";"0";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"5";"10";"60";"60";"55";"35";"35";"30";"25";"20";"25";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"10";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0"
"Bedum";"200";"195";"165";"90";"120";"90";"65";"75";"50";"0";"0";"0";"65";"75";"50";"20";"25";"25";"20";"25";"20";"0";"0";"0";"0";"0";"5";"5";"10";"10";"0";"0";"0";"0";"0";"0";"5";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"30";"30";"45";"20";"25";"15";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"10";"15";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"15";"15";"15";"10";"5";"5";"5";"5";"0";"5";"5";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"30";"25";"25";"20";"25";"20";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"5";"0";"0";"0";"5";"0";"5"
"Bellingwedde";"205";"220";"";"105";"110";"";"65";"90";"";"0";"0";"";"65";"90";"";"30";"10";"";"30";"10";"";"0";"0";"";"0";"5";"";"5";"10";"";"0";"0";"";"0";"0";"";"5";"10";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"45";"35";"";"35";"30";"";"10";"5";"";"0";"0";"";"0";"0";"";"0";"0";"";"25";"25";"";"5";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"5";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"35";"35";"";"15";"15";"";"10";"10";"";"10";"10";"";"0";"0";"";"0";"10";"";"0";"5";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"5";"";"5";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"5";"5";"";"15";"25";"";"10";"20";"";"5";"5";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"0";"";"0";"5";"";"0";"0";"";"0";"5";"";"0";"0";"";"0";"5";"";"0";"0";"";"0";"0";"";"0";"0";""
"Ten Boer";"155";"135";"115";"90";"70";"45";"55";"45";"30";"0";"0";"0";"55";"45";"30";"20";"20";"10";"20";"15";"10";"0";"0";"0";"0";"0";"0";"15";"5";"5";"0";"0";"0";"0";"0";"0";"15";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"25";"30";"25";"20";"25";"5";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"15";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"15";"20";"5";"10";"10";"5";"0";"5";"5";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"25";"15";"15";"15";"10";"10";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Delfzijl";"1125";"1005";"940";"620";"525";"460";"505";"430";"370";"10";"15";"15";"495";"415";"355";"70";"50";"45";"65";"45";"45";"0";"0";"0";"5";"0";"0";"35";"40";"40";"10";"5";"0";"0";"0";"0";"25";"35";"40";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"160";"145";"150";"135";"110";"60";"55";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"80";"70";"20";"10";"20";"10";"5";"5";"10";"0";"5";"0";"0";"0";"5";"5";"5";"0";"0";"0";"5";"0";"10";"0";"0";"0";"0";"0";"0";"10";"15";"10";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"180";"165";"100";"90";"90";"45";"65";"55";"40";"55";"50";"5";"5";"5";"20";"15";"15";"5";"5";"5";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"5";"10";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"15";"25";"100";"100";"110";"60";"55";"65";"30";"35";"40";"5";"5";"10";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"10";"15";"15";"5";"0";"5";"10";"15";"10";"0";"0";"0";"5";"5";"5";"5";"5";"5";"0";"0";"0";"5";"5";"5"
"Eemsmond";"445";"425";"415";"175";"175";"165";"135";"120";"125";"0";"0";"0";"130";"120";"120";"25";"35";"25";"25";"35";"20";"0";"0";"0";"0";"0";"0";"15";"15";"15";"0";"0";"0";"0";"0";"0";"15";"15";"15";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105";"115";"100";"95";"105";"90";"30";"20";"35";"0";"5";"0";"0";"0";"0";"0";"0";"0";"65";"85";"50";"5";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95";"70";"75";"45";"30";"45";"35";"30";"25";"30";"25";"20";"5";"5";"5";"10";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"10";"45";"50";"60";"35";"25";"40";"5";"15";"15";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"10";"5";"5";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"5";"5";"5"
"Groningen (gemeente)";"16480";"13865";"12945";"11380";"8615";"8035";"10190";"7435";"6815";"130";"145";"100";"10060";"7285";"6715";"680";"600";"650";"625";"570";"630";"0";"0";"0";"55";"30";"20";"415";"470";"435";"40";"30";"45";"0";"0";"0";"375";"435";"390";"60";"70";"75";"25";"25";"40";"0";"0";"0";"5";"20";"15";"0";"0";"0";"1800";"1975";"1575";"1500";"1710";"1220";"665";"980";"520";"25";"20";"15";"5";"10";"5";"0";"0";"0";"810";"700";"685";"185";"180";"230";"50";"45";"60";"45";"35";"40";"5";"10";"20";"60";"55";"65";"10";"10";"5";"30";"25";"75";"10";"10";"10";"20";"30";"15";"55";"45";"65";"60";"40";"60";"45";"25";"40";"5";"5";"10";"5";"5";"5";"5";"5";"5";"0";"5";"0";"1665";"1655";"1570";"915";"915";"835";"490";"460";"445";"425";"410";"370";"60";"50";"75";"180";"170";"195";"45";"50";"40";"50";"30";"40";"35";"40";"50";"10";"0";"15";"5";"15";"10";"5";"10";"5";"35";"25";"45";"50";"60";"50";"5";"5";"10";"5";"25";"15";"20";"20";"15";"165";"140";"140";"1215";"1240";"1320";"785";"765";"770";"330";"365";"440";"55";"50";"60";"0";"0";"0";"5";"5";"5";"5";"0";"5";"10";"5";"10";"30";"40";"35";"180";"170";"215";"95";"80";"115";"85";"90";"100";"5";"5";"0";"50";"55";"70";"25";"15";"20";"0";"0";"0";"25";"15";"20"
"Grootegast";"215";"195";"225";"110";"85";"100";"75";"50";"60";"0";"0";"0";"75";"50";"60";"25";"30";"20";"25";"30";"20";"0";"0";"0";"0";"0";"0";"5";"5";"15";"0";"0";"0";"0";"0";"0";"5";"5";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"45";"45";"35";"35";"40";"10";"10";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"20";"25";"30";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"30";"20";"15";"15";"10";"5";"10";"5";"5";"5";"5";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"35";"30";"50";"20";"15";"25";"10";"15";"20";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5"
