"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Aa en Hunze";"620";"550";"530";"330";"285";"290";"240";"205";"205";"5";"0";"0";"235";"205";"205";"65";"50";"50";"60";"50";"50";"0";"0";"0";"0";"5";"0";"25";"30";"30";"0";"0";"5";"0";"0";"0";"20";"25";"25";"0";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"80";"75";"105";"70";"60";"40";"15";"15";"0";"0";"5";"0";"0";"0";"0";"0";"0";"65";"55";"40";"5";"5";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"60";"75";"30";"20";"30";"20";"20";"25";"15";"20";"20";"5";"0";"5";"15";"15";"20";"5";"0";"5";"5";"0";"5";"0";"0";"0";"5";"0";"0";"0";"5";"0";"0";"0";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"5";"85";"110";"75";"60";"70";"50";"20";"25";"25";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"0";"0";"0";"5";"5";"5"
"Assen";"3755";"3380";"3045";"2310";"1990";"1755";"1995";"1670";"1355";"30";"35";"30";"1965";"1635";"1325";"170";"180";"195";"155";"170";"190";"0";"0";"0";"10";"10";"5";"115";"100";"145";"20";"5";"15";"0";"0";"0";"95";"100";"135";"25";"25";"40";"5";"10";"10";"0";"0";"0";"0";"0";"5";"0";"0";"0";"590";"505";"425";"470";"410";"345";"200";"220";"130";"10";"10";"0";"0";"0";"0";"0";"0";"0";"255";"180";"215";"65";"55";"55";"30";"10";"5";"30";"10";"5";"0";"0";"0";"20";"25";"15";"5";"0";"0";"5";"10";"25";"5";"5";"5";"5";"5";"5";"35";"30";"20";"20";"10";"10";"15";"5";"5";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"430";"435";"405";"225";"230";"215";"120";"120";"100";"105";"105";"95";"15";"15";"10";"45";"60";"70";"10";"15";"15";"10";"15";"10";"10";"10";"25";"5";"10";"5";"0";"0";"5";"5";"5";"5";"5";"10";"10";"25";"15";"10";"0";"0";"0";"0";"0";"0";"15";"5";"5";"45";"50";"40";"300";"320";"340";"220";"205";"225";"65";"90";"95";"10";"10";"10";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"10";"5";"50";"65";"40";"25";"20";"15";"30";"40";"25";"0";"5";"0";"15";"20";"25";"10";"5";"10";"0";"0";"0";"10";"5";"10"
"Borger-Odoorn";"600";"540";"545";"330";"335";"265";"215";"225";"180";"5";"0";"0";"215";"225";"180";"70";"70";"50";"65";"65";"45";"0";"0";"0";"5";"5";"5";"35";"30";"30";"5";"0";"0";"0";"0";"0";"30";"30";"30";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"75";"80";"65";"65";"65";"20";"25";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"35";"45";"5";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"5";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"60";"95";"50";"35";"40";"20";"15";"35";"20";"15";"35";"0";"0";"5";"5";"10";"10";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"5";"10";"85";"65";"80";"55";"40";"60";"20";"15";"15";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"10";"5";"5";"5";"0";"0";"5";"0";"5";"0";"0";"0";"5";"0";"0";"5";"0";"5";"0";"0";"0";"5";"0";"5"
"Coevorden";"1305";"1375";"1250";"790";"865";"810";"655";"725";"655";"5";"5";"0";"650";"720";"655";"90";"75";"80";"85";"70";"75";"0";"0";"0";"5";"0";"5";"40";"60";"65";"0";"0";"0";"0";"0";"0";"40";"60";"65";"0";"0";"5";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"135";"135";"160";"115";"115";"55";"40";"45";"5";"0";"5";"0";"0";"0";"0";"0";"0";"105";"75";"70";"5";"10";"15";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"0";"0";"0";"0";"0";"0";"10";"5";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"150";"150";"130";"85";"65";"60";"50";"55";"35";"40";"45";"25";"10";"10";"10";"15";"10";"25";"0";"0";"5";"0";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"10";"5";"0";"0";"0";"0";"0";"0";"5";"0";"5";"15";"15";"15";"130";"180";"145";"100";"140";"105";"25";"30";"35";"0";"5";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"10";"5";"5";"5";"0";"0";"5";"5";"5";"0";"0";"0";"10";"10";"5";"15";"10";"0";"0";"0";"0";"15";"10";"0"
"Emmen";"4780";"4140";"3870";"2865";"2335";"2105";"2355";"1915";"1650";"25";"25";"20";"2335";"1890";"1630";"305";"235";"240";"255";"220";"230";"0";"0";"0";"55";"15";"10";"170";"160";"180";"25";"10";"10";"0";"0";"0";"140";"155";"170";"25";"15";"25";"5";"5";"10";"5";"0";"0";"0";"5";"0";"0";"0";"0";"665";"595";"560";"560";"495";"440";"220";"220";"165";"15";"5";"10";"5";"0";"5";"0";"0";"0";"320";"265";"260";"55";"50";"70";"25";"30";"35";"25";"20";"30";"5";"10";"5";"10";"10";"10";"0";"0";"0";"5";"5";"20";"5";"0";"5";"5";"5";"5";"35";"30";"30";"15";"20";"20";"5";"10";"15";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"645";"630";"590";"365";"330";"300";"200";"210";"190";"190";"175";"175";"10";"30";"15";"50";"60";"70";"10";"15";"20";"10";"15";"10";"10";"5";"5";"0";"5";"5";"0";"0";"5";"5";"5";"5";"10";"10";"30";"20";"20";"25";"0";"5";"0";"5";"5";"0";"5";"5";"5";"55";"60";"55";"460";"425";"485";"300";"275";"335";"115";"120";"120";"15";"10";"15";"0";"0";"0";"5";"5";"5";"0";"0";"5";"0";"0";"0";"20";"15";"5";"45";"45";"40";"25";"20";"15";"20";"25";"25";"0";"0";"0";"20";"25";"25";"20";"25";"15";"0";"0";"0";"20";"25";"15"
"Hoogeveen";"2540";"2205";"2190";"1470";"1180";"1115";"1255";"960";"880";"10";"15";"15";"1245";"945";"865";"145";"135";"140";"140";"135";"130";"0";"0";"0";"10";"5";"5";"55";"65";"80";"5";"0";"10";"0";"0";"0";"50";"65";"70";"5";"10";"10";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"430";"370";"360";"375";"315";"300";"110";"135";"105";"10";"5";"10";"0";"0";"0";"0";"0";"0";"255";"170";"180";"30";"30";"30";"10";"10";"5";"5";"5";"5";"5";"5";"0";"5";"0";"5";"0";"5";"0";"10";"5";"10";"0";"5";"0";"5";"5";"5";"20";"20";"25";"5";"5";"10";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"240";"275";"280";"135";"140";"145";"60";"75";"95";"55";"70";"80";"5";"5";"15";"35";"35";"35";"5";"10";"10";"5";"5";"0";"5";"5";"5";"5";"0";"5";"0";"5";"5";"5";"0";"0";"10";"5";"5";"5";"20";"5";"0";"0";"0";"0";"0";"0";"5";"5";"0";"30";"15";"20";"310";"315";"365";"235";"230";"230";"60";"65";"105";"10";"10";"15";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"5";"10";"30";"20";"35";"15";"10";"20";"15";"10";"10";"0";"0";"0";"20";"10";"15";"10";"15";"10";"0";"0";"0";"10";"15";"10"
"Meppel";"1315";"1105";"980";"745";"565";"465";"620";"430";"325";"5";"5";"5";"615";"425";"320";"80";"90";"90";"75";"85";"90";"0";"0";"0";"5";"5";"0";"40";"40";"45";"5";"5";"0";"0";"0";"0";"35";"35";"40";"5";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"195";"160";"145";"165";"130";"125";"60";"60";"65";"0";"0";"5";"5";"0";"0";"0";"0";"0";"100";"65";"55";"20";"20";"10";"10";"5";"0";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"5";"0";"0";"0";"5";"5";"0";"5";"5";"5";"10";"10";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130";"165";"115";"80";"115";"75";"35";"30";"20";"25";"20";"15";"5";"5";"5";"15";"15";"15";"5";"5";"5";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"25";"15";"25";"185";"170";"205";"120";"105";"105";"55";"60";"75";"5";"5";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"20";"25";"15";"10";"15";"10";"10";"5";"5";"0";"0";"0";"5";"5";"5";"10";"5";"5";"0";"0";"0";"10";"5";"5"
"Midden-Drenthe";"1020";"785";"835";"550";"420";"435";"445";"320";"290";"10";"5";"0";"435";"315";"290";"70";"60";"90";"70";"55";"80";"0";"0";"0";"5";"5";"5";"30";"35";"50";"0";"0";"0";"0";"0";"0";"30";"35";"50";"0";"5";"5";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"165";"125";"130";"140";"105";"105";"45";"35";"30";"0";"0";"5";"0";"0";"0";"0";"0";"0";"90";"65";"75";"15";"10";"15";"5";"0";"5";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"10";"0";"0";"0";"0";"0";"0";"10";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"100";"90";"65";"45";"45";"50";"40";"25";"40";"40";"20";"5";"5";"5";"15";"10";"10";"5";"0";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"5";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"5";"0";"5";"10";"5";"15";"140";"120";"140";"95";"65";"85";"35";"40";"40";"5";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"15";"10";"10";"5";"5";"5";"10";"5";"10";"0";"0";"0";"5";"5";"5";"5";"5";"5";"0";"0";"0";"5";"5";"5"
