"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Almelo";"3995";"3895";"3530";"2270";"2180";"1830";"1915";"1835";"1490";"30";"15";"30";"1890";"1820";"1460";"195";"160";"180";"180";"155";"170";"0";"0";"0";"15";"5";"10";"130";"140";"120";"10";"10";"5";"0";"0";"5";"115";"130";"110";"25";"35";"30";"0";"5";"5";"0";"0";"0";"0";"5";"5";"0";"0";"0";"630";"600";"430";"515";"480";"335";"200";"180";"110";"5";"10";"5";"0";"0";"0";"0";"0";"0";"310";"290";"220";"65";"65";"55";"15";"25";"20";"15";"20";"20";"0";"5";"0";"20";"15";"20";"5";"5";"0";"5";"10";"5";"5";"0";"5";"10";"5";"0";"25";"35";"25";"20";"20";"15";"5";"5";"5";"5";"5";"0";"5";"0";"0";"0";"0";"0";"5";"5";"10";"495";"455";"520";"255";"230";"245";"190";"160";"180";"180";"145";"155";"10";"20";"25";"25";"40";"60";"10";"10";"10";"5";"10";"15";"5";"10";"5";"5";"0";"10";"0";"5";"0";"0";"5";"5";"0";"5";"15";"15";"20";"15";"5";"0";"0";"0";"0";"5";"5";"0";"5";"40";"40";"40";"465";"530";"570";"335";"390";"410";"90";"95";"125";"15";"15";"15";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"20";"25";"15";"40";"55";"95";"15";"20";"20";"30";"35";"75";"0";"0";"0";"20";"20";"35";"30";"15";"10";"0";"0";"0";"30";"15";"10"
"Borne";"670";"605";"575";"410";"320";"285";"315";"245";"185";"0";"0";"0";"315";"240";"185";"65";"50";"70";"65";"50";"60";"0";"0";"0";"5";"5";"10";"20";"20";"25";"5";"0";"0";"0";"0";"0";"20";"20";"20";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95";"95";"90";"90";"80";"70";"35";"25";"25";"0";"5";"0";"0";"0";"0";"0";"0";"0";"50";"50";"45";"5";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"5";"0";"0";"5";"5";"0";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60";"50";"50";"20";"25";"30";"25";"15";"15";"25";"15";"15";"5";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"10";"90";"115";"105";"65";"85";"80";"15";"20";"15";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"5";"10";"25";"5";"10";"10";"0";"0";"15";"0";"0";"0";"5";"0";"10";"0";"5";"0";"0";"0";"0";"0";"5";"0"
"Dalfsen";"480";"400";"415";"300";"220";"220";"200";"145";"125";"0";"0";"0";"195";"145";"120";"80";"50";"60";"70";"50";"60";"0";"0";"0";"10";"0";"0";"15";"20";"30";"0";"0";"0";"0";"0";"0";"15";"20";"30";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"50";"45";"45";"40";"35";"15";"20";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"25";"15";"0";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"35";"40";"10";"15";"25";"15";"15";"5";"10";"15";"5";"5";"0";"0";"5";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"95";"85";"95";"60";"40";"45";"15";"30";"35";"10";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"10";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"5";"0"
"Deventer";"5570";"5005";"4685";"3450";"3060";"2695";"2995";"2615";"2225";"30";"30";"15";"2965";"2585";"2210";"245";"240";"285";"235";"220";"265";"0";"0";"0";"15";"20";"20";"130";"150";"145";"15";"10";"5";"5";"0";"0";"110";"140";"135";"55";"35";"30";"20";"10";"10";"0";"0";"0";"0";"5";"0";"0";"0";"0";"730";"645";"660";"570";"480";"485";"235";"210";"220";"15";"20";"10";"0";"0";"0";"0";"0";"0";"315";"250";"255";"80";"100";"105";"20";"35";"30";"15";"25";"30";"5";"5";"5";"35";"25";"45";"5";"5";"0";"15";"30";"20";"5";"0";"5";"10";"5";"5";"55";"35";"50";"20";"25";"20";"5";"5";"5";"5";"10";"10";"5";"0";"0";"0";"5";"0";"5";"5";"0";"630";"550";"515";"325";"270";"270";"210";"175";"155";"190";"165";"140";"20";"10";"15";"60";"80";"65";"30";"30";"25";"5";"5";"10";"15";"20";"10";"5";"10";"10";"5";"5";"0";"5";"0";"5";"5";"10";"5";"25";"20";"15";"0";"0";"5";"5";"0";"0";"0";"0";"5";"125";"105";"125";"530";"545";"615";"380";"395";"440";"105";"105";"130";"30";"20";"20";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"15";"20";"20";"60";"60";"30";"25";"20";"15";"35";"40";"15";"0";"0";"0";"35";"25";"30";"15";"15";"15";"0";"0";"0";"15";"15";"15"
"Dinkelland";"505";"480";"410";"290";"250";"185";"220";"170";"130";"0";"0";"0";"220";"170";"130";"60";"45";"30";"60";"45";"30";"0";"0";"0";"0";"0";"0";"10";"30";"20";"0";"0";"0";"0";"0";"0";"10";"30";"20";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"60";"45";"40";"50";"35";"20";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"30";"15";"5";"5";"5";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"50";"40";"20";"30";"20";"5";"15";"5";"5";"10";"5";"0";"5";"0";"5";"5";"10";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"125";"105";"120";"85";"80";"85";"25";"20";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"10";"5";"5";"10";"0";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"5";"0";"5";"5";"0";"0";"0";"0";"5";"5"
"Enschede";"11020";"9620";"8950";"7380";"6290";"5640";"6645";"5615";"4940";"85";"55";"55";"6555";"5560";"4885";"455";"400";"380";"440";"380";"370";"0";"0";"0";"20";"20";"10";"205";"210";"240";"20";"5";"15";"5";"10";"5";"180";"195";"225";"60";"50";"60";"10";"5";"10";"0";"0";"0";"0";"5";"5";"0";"0";"0";"1355";"1130";"1035";"1105";"875";"810";"430";"310";"315";"25";"25";"10";"5";"0";"0";"0";"0";"0";"650";"540";"480";"110";"135";"120";"50";"60";"60";"45";"55";"55";"5";"10";"5";"30";"30";"30";"5";"5";"5";"15";"20";"15";"5";"5";"0";"5";"15";"10";"75";"55";"45";"65";"65";"60";"40";"40";"30";"10";"15";"20";"5";"0";"5";"5";"0";"0";"5";"15";"5";"930";"900";"880";"470";"465";"455";"310";"255";"245";"290";"240";"225";"20";"15";"20";"80";"105";"130";"20";"30";"40";"15";"15";"25";"10";"20";"15";"15";"10";"15";"10";"5";"0";"10";"5";"10";"10";"20";"20";"50";"40";"30";"5";"5";"5";"10";"10";"10";"5";"15";"10";"95";"105";"130";"975";"970";"1030";"800";"815";"860";"110";"100";"125";"10";"20";"20";"0";"0";"0";"5";"0";"5";"0";"0";"5";"0";"0";"0";"40";"35";"10";"160";"115";"140";"85";"70";"60";"70";"45";"75";"5";"0";"5";"110";"90";"70";"20";"20";"20";"0";"0";"0";"20";"20";"20"
"Haaksbergen";"610";"555";"610";"365";"300";"335";"290";"230";"245";"0";"0";"5";"290";"230";"240";"60";"40";"55";"55";"35";"50";"0";"0";"0";"5";"0";"5";"15";"25";"30";"0";"0";"5";"0";"0";"0";"15";"25";"25";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65";"95";"75";"60";"85";"60";"25";"40";"35";"0";"5";"0";"0";"0";"0";"0";"0";"0";"35";"45";"25";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"35";"55";"25";"20";"30";"20";"10";"15";"20";"5";"10";"0";"5";"5";"5";"5";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"105";"105";"135";"75";"60";"95";"10";"30";"30";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"5";"10";"5";"5";"5";"0";"0";"5";"0";"5";"0";"0";"0";"0";"5";"0";"5";"5";"0";"0";"0";"0";"5";"5";"0"
"Hardenberg";"1680";"1590";"1605";"1010";"890";"865";"815";"685";"670";"5";"0";"10";"815";"685";"660";"140";"140";"110";"135";"130";"110";"0";"0";"0";"10";"5";"0";"45";"60";"65";"5";"0";"0";"0";"0";"0";"40";"55";"65";"5";"5";"15";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"270";"260";"265";"240";"220";"215";"85";"75";"70";"5";"5";"0";"0";"0";"5";"0";"0";"0";"145";"145";"140";"15";"25";"25";"0";"10";"10";"0";"5";"10";"0";"0";"0";"5";"5";"5";"0";"0";"0";"5";"10";"0";"0";"0";"0";"0";"5";"10";"10";"10";"20";"5";"5";"5";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"160";"195";"175";"95";"115";"85";"50";"45";"45";"50";"40";"45";"5";"5";"0";"15";"25";"25";"5";"15";"5";"0";"0";"10";"0";"0";"0";"5";"0";"5";"5";"0";"0";"0";"0";"5";"0";"5";"0";"0";"5";"5";"0";"0";"0";"0";"5";"10";"0";"0";"0";"15";"25";"20";"175";"180";"225";"100";"80";"105";"55";"80";"95";"10";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"5";"10";"5";"20";"20";"30";"10";"5";"20";"10";"15";"10";"0";"0";"0";"20";"10";"15";"10";"10";"10";"0";"0";"0";"10";"10";"10"
