"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Aalten";"635";"530";"505";"375";"290";"245";"275";"200";"140";"0";"0";"0";"270";"200";"140";"70";"60";"65";"60";"60";"60";"0";"0";"0";"5";"5";"5";"30";"25";"35";"0";"0";"0";"0";"0";"0";"25";"20";"30";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70";"65";"65";"60";"55";"50";"20";"15";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"35";"30";"10";"10";"10";"5";"0";"5";"5";"0";"0";"0";"0";"5";"5";"5";"5";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"45";"50";"30";"25";"25";"30";"15";"15";"30";"10";"10";"5";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"5";"10";"90";"105";"110";"60";"65";"60";"15";"30";"40";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"5";"5";"10";"10";"5";"0";"5";"5";"5";"10";"0";"0";"0";"5";"0";"10";"5";"5";"5";"0";"0";"0";"5";"5";"5"
"Apeldoorn";"8305";"7360";"7220";"5250";"4375";"4380";"4545";"3600";"3580";"65";"60";"60";"4480";"3540";"3520";"390";"430";"435";"360";"400";"415";"0";"0";"0";"30";"30";"20";"210";"245";"275";"10";"25";"25";"0";"0";"5";"195";"225";"245";"80";"70";"70";"20";"20";"20";"0";"0";"0";"5";"5";"5";"0";"0";"0";"1020";"960";"865";"865";"770";"640";"355";"300";"275";"25";"15";"10";"15";"5";"0";"0";"0";"0";"470";"450";"355";"75";"110";"80";"30";"65";"35";"25";"60";"30";"5";"5";"5";"25";"25";"25";"0";"5";"5";"10";"10";"10";"0";"0";"0";"5";"5";"5";"35";"35";"40";"45";"50";"105";"30";"35";"70";"5";"0";"25";"0";"5";"5";"5";"0";"5";"0";"5";"5";"725";"760";"675";"395";"415";"345";"235";"205";"190";"220";"190";"180";"15";"15";"10";"65";"95";"115";"10";"20";"30";"10";"15";"35";"15";"25";"10";"10";"10";"20";"5";"5";"5";"5";"5";"10";"10";"15";"15";"15";"20";"20";"0";"5";"0";"10";"10";"5";"5";"10";"5";"150";"160";"160";"1005";"985";"990";"615";"610";"565";"270";"265";"320";"65";"55";"65";"0";"0";"0";"5";"0";"10";"0";"0";"0";"10";"5";"0";"40";"45";"25";"85";"65";"80";"45";"40";"45";"40";"25";"35";"0";"0";"0";"45";"40";"50";"20";"15";"15";"0";"0";"0";"20";"15";"15"
"Arnhem";"12695";"11520";"10705";"8060";"7135";"6350";"7170";"6235";"5445";"125";"65";"90";"7045";"6170";"5350";"460";"435";"475";"425";"405";"460";"0";"0";"0";"35";"30";"20";"290";"350";"305";"20";"30";"5";"5";"5";"0";"270";"315";"300";"110";"100";"95";"25";"15";"25";"0";"0";"0";"5";"5";"5";"0";"0";"0";"1690";"1425";"1300";"1270";"1015";"885";"645";"500";"390";"15";"15";"15";"5";"5";"5";"0";"0";"0";"605";"500";"480";"190";"190";"190";"110";"100";"85";"95";"90";"80";"15";"5";"5";"45";"45";"50";"0";"5";"5";"10";"20";"30";"10";"5";"5";"15";"20";"15";"70";"90";"65";"155";"130";"160";"110";"100";"95";"25";"15";"50";"10";"10";"10";"5";"0";"0";"5";"5";"5";"1285";"1240";"1290";"690";"655";"650";"405";"365";"370";"365";"330";"345";"40";"35";"30";"110";"110";"165";"25";"25";"65";"25";"30";"40";"20";"20";"20";"10";"15";"15";"5";"5";"5";"5";"5";"5";"15";"15";"20";"40";"50";"40";"5";"5";"5";"20";"30";"35";"15";"20";"15";"255";"265";"280";"1155";"1205";"1205";"900";"945";"905";"175";"180";"215";"30";"40";"55";"0";"0";"0";"5";"5";"0";"10";"5";"0";"0";"5";"5";"30";"25";"20";"160";"175";"175";"90";"110";"80";"70";"65";"90";"0";"0";"5";"60";"40";"65";"25";"40";"35";"0";"0";"0";"25";"40";"35"
"Barneveld";"2075";"1715";"1745";"1240";"980";"885";"990";"775";"695";"5";"5";"0";"985";"770";"695";"125";"110";"95";"120";"110";"90";"0";"0";"0";"5";"0";"5";"110";"75";"75";"10";"10";"0";"0";"0";"0";"105";"65";"75";"15";"15";"15";"0";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"200";"155";"200";"165";"120";"150";"55";"40";"50";"0";"0";"0";"10";"0";"5";"0";"0";"0";"100";"75";"90";"30";"20";"25";"10";"10";"15";"10";"5";"10";"0";"0";"0";"5";"5";"5";"0";"0";"0";"5";"5";"5";"0";"0";"0";"10";"0";"0";"5";"10";"5";"5";"10";"20";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"180";"190";"180";"70";"95";"85";"60";"65";"65";"55";"55";"60";"10";"10";"10";"35";"20";"25";"15";"5";"5";"5";"5";"0";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"10";"5";"0";"0";"0";"0";"0";"0";"5";"5";"0";"25";"10";"20";"390";"330";"410";"215";"180";"195";"120";"100";"185";"15";"20";"10";"0";"0";"0";"5";"5";"0";"10";"5";"5";"0";"0";"0";"30";"20";"15";"15";"20";"20";"5";"15";"5";"10";"5";"10";"0";"0";"0";"5";"10";"15";"20";"15";"10";"10";"0";"5";"10";"10";"5"
"Berg en Dal";"1195";"1020";"970";"715";"535";"525";"575";"410";"375";"5";"5";"0";"570";"405";"370";"90";"70";"100";"85";"70";"95";"0";"0";"0";"10";"5";"5";"40";"50";"40";"5";"0";"5";"0";"0";"0";"35";"50";"35";"10";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"145";"165";"150";"115";"145";"130";"55";"55";"55";"0";"0";"0";"5";"5";"5";"0";"0";"0";"55";"85";"65";"10";"15";"10";"10";"5";"5";"10";"5";"5";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"10";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"145";"150";"140";"75";"75";"70";"50";"55";"45";"45";"50";"40";"5";"10";"10";"15";"15";"15";"0";"5";"0";"0";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"5";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"10";"15";"10";"165";"140";"135";"115";"105";"100";"35";"25";"30";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"10";"5";"5";"5";"5";"5";"0";"0";"5";"0";"5";"0";"0";"0";"0";"5";"5";"0";"10";"0";"5";"0";"0";"0";"10";"0";"5"
"Berkelland";"1075";"1050";"975";"560";"470";"415";"380";"345";"280";"0";"5";"5";"380";"340";"270";"125";"85";"90";"120";"75";"90";"0";"0";"0";"5";"10";"5";"40";"30";"35";"5";"0";"5";"0";"0";"0";"35";"30";"30";"5";"5";"5";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"150";"170";"130";"135";"145";"110";"50";"70";"45";"0";"0";"0";"0";"5";"0";"0";"0";"0";"80";"65";"60";"10";"15";"5";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"5";"5";"5";"0";"0";"0";"5";"0";"0";"5";"5";"10";"0";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130";"145";"155";"65";"70";"75";"50";"45";"55";"45";"40";"45";"5";"5";"10";"10";"25";"20";"0";"10";"0";"5";"5";"5";"0";"5";"5";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"10";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"5";"20";"185";"200";"215";"130";"130";"150";"25";"35";"45";"5";"5";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"25";"30";"15";"5";"25";"15";"0";"10";"5";"5";"15";"10";"0";"0";"0";"5";"5";"5";"20";"30";"15";"0";"0";"0";"20";"30";"15"
"Beuningen";"890";"885";"780";"590";"555";"470";"495";"470";"390";"5";"0";"5";"485";"470";"390";"70";"55";"45";"65";"50";"45";"0";"0";"0";"5";"5";"0";"25";"30";"25";"0";"0";"0";"0";"0";"0";"25";"30";"25";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"130";"95";"100";"115";"85";"45";"45";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"70";"40";"0";"10";"5";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65";"60";"75";"40";"30";"40";"15";"20";"15";"15";"15";"15";"0";"5";"0";"10";"5";"15";"0";"5";"0";"5";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"100";"120";"120";"75";"85";"95";"20";"30";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"10";"10";"0";"5";"5";"5";"5";"5";"0";"0";"0";"5";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5"
"Bronckhorst";"775";"720";"615";"490";"470";"350";"365";"345";"235";"0";"0";"0";"365";"345";"235";"90";"90";"75";"90";"85";"70";"0";"0";"0";"5";"0";"5";"25";"35";"40";"5";"0";"0";"0";"0";"0";"20";"35";"40";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"55";"80";"75";"50";"70";"30";"10";"35";"0";"5";"0";"5";"5";"5";"0";"0";"0";"40";"35";"30";"15";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"65";"65";"30";"40";"30";"10";"15";"15";"5";"10";"15";"5";"5";"0";"10";"10";"15";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"10";"5";"120";"110";"105";"90";"85";"80";"15";"20";"15";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"10";"0";"5";"10";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"5";"10";"0";"0";"0";"0";"5";"10";"0"
