"Geregistreerde criminaliteit; soort misdrijf, regio"
"Onderwerp: |Totaal geregistreerde misdrijven"
""
"Soort misdrijf";"Misdrijven, totaal";"Misdrijven, totaal";"Misdrijven, totaal";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1 Vermogensmisdrijven";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1 Diefstal/verduistering en inbraak";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.1 Diefstal en inbraak met geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.1.2 Diefstal en inbraak zonder geweld";"1.2 Bedrog";"1.2 Bedrog";"1.2 Bedrog";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.1 Oplichting";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.2 Flessentrekkerij";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.2.3 Bedrog (overig)";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3 Valsheidsmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.1 Muntmisdrijf";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.2 Valsheid in zegels en merken";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.3.3 Valsheid in geschriften";"1.4 Heling";"1.4 Heling";"1.4 Heling";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.5 Afpersing en afdreiging";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.6 Bankbreuk";"1.7 Witwassen";"1.7 Witwassen";"1.7 Witwassen";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"1.8 Vermogensmisdrijf (overig)";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2 Vernielingen, misdr.openb.orde/gezag";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1 Vernieling en beschadiging";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.1 Vernieling aan auto";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.2 Vernieling aan openbaar gebouw";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.3 Vernieling middel openb.vervoer";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.4 Dierenmishandeling";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.1.5 Vernieling, beschadiging (overig)";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2 Openbare orde misdrijf";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1 Openlijke geweldpleging";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.1 Openlijk geweld tegen persoon";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.1.2 Openlijk geweld tegen goed";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.2 Huisvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.3 Lokaalvredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.4 Computervredebreuk";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.5 Discriminatie";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.2.6 Openbare orde misdrijf (overig)";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.3 Brandstichting/ontploffing";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4 Openbaar gezag misdrijf";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.1 Niet opvolgen van ambtelijk bevel";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.2 Wederspannigheid";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.3 Valse aangifte";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.5 Verblijf ongewenste vreemdeling";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"2.4.6 Openbaar gezag misdrijf (overig)";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3 Gewelds- en seksuele misdrijven";"3.1 Mishandeling";"3.1 Mishandeling";"3.1 Mishandeling";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2 Bedreiging en stalking";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.1 Bedreiging";"3.2.2 Stalking";"3.2.2 Stalking";"3.2.2 Stalking";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3 Seksueel misdrijf";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.1 Aanranding";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.2 Verkrachting";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.3 Schennis der eerbaarheid";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.4 Ontucht met minderjarige";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.5 Pornografie";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.6 Ontucht met misbruik van gezag";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.3.7 Seksueel misdrijf (overig)";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.4 Levensmisdrijf";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.5 Vrijheidsbeneming/gijzeling";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.6 Mensenhandel, mensensmokkel";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"3.7 Geweldsmisdrijf (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"4 Misdrijven WvSr (overig)";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5 Verkeersmisdrijven";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.1 Verlaten plaats ongeval";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.2 Rijden onder invloed";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.3 Rijden tijdens ontzegging";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.4 Rijden tijdens rijverbod";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.5 Voeren vals kenteken";"5.6 Joyriding";"5.6 Joyriding";"5.6 Joyriding";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.7 Weigeren blaastest/bloedonderzoek";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"5.8 Verkeersmisdrijf (overig)";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6 Drugsmisdrijven";"6.1 Harddrugs";"6.1 Harddrugs";"6.1 Harddrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.2 Softdrugs";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"6.3 Drugsmisdrijf (overig)";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"7 (Vuur)wapenmisdrijven";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9 Misdrijven overige wetten";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.1 Militair misdrijf";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)";"9.2 Misdrijf (overig)"
"Perioden";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*";"2016";"2017*";"2018*"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Abcoude";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amersfoort";"8505";"7635";"7485";"5490";"4890";"4575";"4645";"4050";"3810";"60";"60";"50";"4585";"3990";"3760";"420";"400";"430";"380";"375";"415";"0";"0";"0";"40";"25";"15";"330";"345";"255";"30";"20";"10";"5";"0";"0";"295";"320";"245";"75";"80";"45";"15";"10";"15";"0";"0";"0";"0";"5";"10";"0";"0";"0";"1185";"1075";"1025";"985";"855";"790";"410";"395";"350";"15";"20";"10";"15";"5";"10";"0";"0";"0";"545";"435";"425";"110";"145";"130";"60";"70";"55";"45";"55";"50";"10";"15";"5";"20";"35";"30";"0";"0";"5";"15";"30";"25";"5";"0";"5";"10";"5";"15";"45";"35";"50";"45";"35";"55";"25";"15";"20";"15";"15";"15";"5";"5";"10";"0";"0";"0";"0";"0";"5";"695";"665";"640";"400";"365";"365";"210";"195";"170";"200";"175";"150";"10";"20";"20";"50";"65";"75";"15";"20";"25";"0";"5";"15";"15";"10";"10";"5";"10";"0";"0";"5";"0";"5";"0";"5";"10";"10";"15";"25";"20";"20";"0";"5";"0";"5";"5";"5";"0";"10";"5";"150";"135";"145";"835";"755";"945";"455";"405";"485";"285";"280";"370";"55";"45";"55";"0";"0";"0";"5";"5";"5";"10";"0";"0";"5";"5";"15";"25";"15";"20";"100";"65";"105";"40";"25";"45";"55";"40";"55";"5";"0";"0";"45";"35";"40";"5";"10";"10";"0";"0";"0";"5";"10";"10"
"Baarn";"1280";"1195";"1110";"775";"725";"675";"665";"625";"570";"5";"5";"5";"660";"620";"565";"60";"45";"55";"60";"40";"50";"0";"0";"0";"0";"5";"5";"35";"50";"35";"5";"0";"0";"0";"0";"0";"30";"45";"35";"5";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"220";"185";"125";"185";"160";"95";"105";"95";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"65";"50";"20";"10";"15";"10";"5";"5";"10";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"10";"0";"0";"0";"0";"0";"0";"10";"5";"0";"5";"5";"15";"0";"0";"5";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"100";"80";"95";"45";"45";"35";"40";"20";"35";"35";"15";"35";"5";"0";"0";"5";"10";"20";"0";"0";"10";"0";"5";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"10";"15";"25";"160";"175";"165";"105";"125";"105";"45";"40";"55";"5";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0";"15";"5";"15";"5";"0";"5";"10";"5";"5";"0";"0";"0";"5";"5";"10";"0";"5";"0";"0";"0";"0";"0";"5";"0"
"De Bilt";"1710";"1575";"1485";"1140";"1085";"1000";"955";"925";"820";"10";"5";"10";"940";"920";"810";"115";"80";"100";"110";"75";"100";"0";"0";"0";"5";"0";"0";"65";"80";"70";"10";"5";"0";"0";"0";"0";"55";"75";"70";"5";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"230";"165";"140";"205";"130";"110";"95";"60";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105";"70";"60";"20";"25";"20";"5";"10";"5";"5";"5";"5";"5";"5";"0";"0";"5";"5";"0";"0";"0";"10";"5";"5";"0";"0";"0";"0";"5";"0";"5";"0";"10";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"120";"100";"65";"55";"45";"35";"30";"35";"30";"25";"30";"0";"5";"5";"10";"30";"10";"0";"0";"0";"0";"0";"0";"0";"10";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"15";"15";"15";"190";"170";"215";"120";"115";"155";"50";"40";"45";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"5";"10";"10";"15";"5";"5";"5";"5";"5";"10";"0";"0";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0"
"Breukelen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bunnik";"610";"535";"595";"430";"360";"410";"355";"305";"320";"5";"0";"5";"350";"300";"315";"55";"40";"45";"40";"20";"30";"0";"0";"0";"15";"20";"15";"20";"15";"40";"0";"0";"0";"0";"0";"0";"20";"15";"40";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"50";"40";"35";"45";"30";"25";"30";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"15";"10";"5";"5";"5";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"30";"35";"25";"25";"25";"10";"5";"10";"10";"5";"10";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"75";"80";"100";"50";"55";"60";"10";"15";"35";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"15";"10";"5";"5";"0";"5";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5"
"Bunschoten";"645";"585";"495";"370";"340";"255";"305";"250";"170";"0";"0";"0";"305";"250";"170";"35";"35";"40";"35";"35";"40";"0";"0";"0";"0";"0";"0";"20";"50";"40";"0";"0";"0";"0";"0";"0";"20";"50";"40";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90";"80";"80";"75";"60";"65";"30";"25";"30";"0";"0";"0";"0";"5";"0";"0";"0";"0";"45";"35";"35";"15";"10";"10";"5";"5";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"0";"0";"0";"5";"0";"0";"5";"5";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65";"50";"55";"40";"35";"30";"20";"10";"10";"20";"10";"10";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"15";"105";"100";"80";"65";"70";"45";"35";"25";"30";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"10";"10";"0";"5";"5";"0";"5";"5";"0";"0";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eemnes";"345";"325";"300";"205";"190";"170";"160";"150";"130";"5";"0";"0";"155";"150";"130";"20";"20";"20";"20";"20";"20";"0";"0";"0";"0";"5";"0";"20";"15";"15";"0";"0";"0";"0";"0";"0";"15";"15";"15";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"40";"40";"30";"35";"30";"10";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"15";"10";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"30";"15";"10";"20";"10";"15";"10";"5";"15";"5";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"55";"55";"70";"35";"35";"45";"15";"15";"20";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"5";"5";"0";"0";"0";"0";"5";"5";"0"
