
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2017,
Total Nacional,
    1. CONTRA LAS PERSONAS,174217.0,
    1.1.-Homicidios dolosos/asesinatos,1106.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,307.0,
    1.2.-Lesiones,100354.0,
    1.3.-Malos tratos ámbito familiar,69812.0,
    1.4.-Otros contra las personas,2945.0,
    2. CONTRA LA LIBERTAD,119031.0,
    2.1.-Malos tratos habituales en el ámbito familiar,14238.0,
    2.2.-Otros contra la libertad,104793.0,
    3. LIBERTAD SEXUAL,11692.0,
    3.1.-Agresión sexual,1806.0,
    3.2.-Agresión sexual con penetración,1387.0,
    3.3.-Corrupción de menores o incapacitados,400.0,
    3.4.-Pornografía de menores,767.0,
    3.5.-Otros contra la libertad e indemnidad sexual,7332.0,
    4. RELACIONES FAMILIARES,7915.0,
    5. PATRIMONIO,1593930.0,
    5.1.-Hurtos,712398.0,
    5.2.-Robos con fuerza en las cosas,301734.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,102988.0,
    5.2.2.-Robos con fuerza en viviendas,105095.0,
    5.2.3.-Robos con fuerza en establecimientos,35059.0,
    5.3.-Robos con violencia o intimidación,61763.0,
    5.3.1.-Robos con violencia en vía pública,27561.0,
    5.3.2.-Robos con violencia en viviendas,3389.0,
    5.3.3.-Robos con violencia en establecimientos,5383.0,
    5.4.-Sustracción de vehículos,42519.0,
    5.5.-Estafas,214595.0,
    5.5.1.-Estafas bancarias,43161.0,
    5.6.-Daños,214246.0,
    5.7.-Contra la propiedad intelectual/industrial,1622.0,
    5.8.-Blanqueo de capitales,260.0,
    5.9.-Otros contra el patrimonio,44793.0,
    6. SEGURIDAD COLECTIVA,59162.0,
    6.1.-Tráfico de drogas,12958.0,
    6.2.-Contra la seguridad vial,43942.0,
    6.3.-Otros contra la seguridad colectiva,2262.0,
    7. FALSEDADES,20640.0,
