
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2014,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,281713.0,
    1.1.-Homicidios dolosos/asesinatos,1048.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,323.0,
    1.2.-Lesiones,98821.0,
    1.3.-Malos tratos ámbito familiar,62392.0,
    1.4.-Otros contra las personas,119452.0,
    2. CONTRA LA LIBERTAD,42953.0,
    2.1.-Malos tratos habituales en el ámbito familiar,15958.0,
    2.2.-Otros contra la libertad,26995.0,
    3. LIBERTAD SEXUAL,9468.0,
    3.1.-Agresión sexual,1722.0,
    3.2.-Agresión sexual con penetración,1239.0,
    3.3.-Corrupción de menores o incapacitados,386.0,
    3.4.-Pornografía de menores,625.0,
    3.5.-Otros contra la libertad e indemnidad sexual,5496.0,
    4. RELACIONES FAMILIARES,10506.0,
    5. PATRIMONIO,1595984.0,
    5.1.-Hurtos,727800.0,
    5.2.-Robos con fuerza en las cosas,344875.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,106174.0,
    5.2.2.-Robos con fuerza en viviendas,120783.0,
    5.2.3.-Robos con fuerza en establecimientos,37962.0,
    5.3.-Robos con violencia o intimidación,70855.0,
    5.3.1.-Robos con violencia en vía pública,31830.0,
    5.3.2.-Robos con violencia en viviendas,4697.0,
    5.3.3.-Robos con violencia en establecimientos,5489.0,
    5.4.-Sustracción de vehículos,43206.0,
    5.5.-Estafas,140418.0,
    5.5.1.-Estafas bancarias,25554.0,
    5.6.-Daños,218166.0,
    5.7.-Contra la propiedad intelectual/industrial,2608.0,
    5.8.-Blanqueo de capitales,230.0,
    5.9.-Otros contra el patrimonio,47826.0,
    6. SEGURIDAD COLECTIVA,66938.0,
    6.1.-Tráfico de drogas,13411.0,
    6.2.-Contra la seguridad vial,51419.0,
    6.3.-Otros contra la seguridad colectiva,2108.0,
    7. FALSEDADES,18408.0,
    8. ADMÓN. PÚBLICA,521.0,
    9. ADMÓN. JUSTICIA,28034.0,
    10. ORDEN PÚBLICO,29466.0,
    11. LEGISLACIÓN ESPECIAL,185.0,
    12. OTRAS INFRACCIONES PENALES,7864.0,
    TOTAL INFRACCIONES PENALES,2092040.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,59774.0,
    1.1.-Homicidios dolosos/asesinatos,224.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,69.0,
    1.2.-Lesiones,20038.0,
    1.3.-Malos tratos ámbito familiar,13308.0,
    1.4.-Otros contra las personas,26204.0,
    2. CONTRA LA LIBERTAD,7364.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2981.0,
    2.2.-Otros contra la libertad,4383.0,
    3. LIBERTAD SEXUAL,1653.0,
    3.1.-Agresión sexual,326.0,
    3.2.-Agresión sexual con penetración,170.0,
    3.3.-Corrupción de menores o incapacitados,95.0,
    3.4.-Pornografía de menores,85.0,
    3.5.-Otros contra la libertad e indemnidad sexual,977.0,
    4. RELACIONES FAMILIARES,1633.0,
    5. PATRIMONIO,249797.0,
    5.1.-Hurtos,115850.0,
    5.2.-Robos con fuerza en las cosas,58021.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,19519.0,
    5.2.2.-Robos con fuerza en viviendas,19372.0,
    5.2.3.-Robos con fuerza en establecimientos,7599.0,
    5.3.-Robos con violencia o intimidación,8291.0,
    5.3.1.-Robos con violencia en vía pública,5829.0,
    5.3.2.-Robos con violencia en viviendas,560.0,
    5.3.3.-Robos con violencia en establecimientos,1091.0,
    5.4.-Sustracción de vehículos,8312.0,
    5.5.-Estafas,16980.0,
    5.5.1.-Estafas bancarias,997.0,
    5.6.-Daños,34646.0,
    5.7.-Contra la propiedad intelectual/industrial,763.0,
    5.8.-Blanqueo de capitales,88.0,
    5.9.-Otros contra el patrimonio,6846.0,
    6. SEGURIDAD COLECTIVA,15092.0,
    6.1.-Tráfico de drogas,3336.0,
    6.2.-Contra la seguridad vial,11335.0,
    6.3.-Otros contra la seguridad colectiva,421.0,
    7. FALSEDADES,3150.0,
    8. ADMÓN. PÚBLICA,215.0,
    9. ADMÓN. JUSTICIA,6650.0,
    10. ORDEN PÚBLICO,5224.0,
    11. LEGISLACIÓN ESPECIAL,56.0,
    12. OTRAS INFRACCIONES PENALES,1613.0,
    TOTAL INFRACCIONES PENALES,352221.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,5975.0,
    1.1.-Homicidios dolosos/asesinatos,18.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,2219.0,
    1.3.-Malos tratos ámbito familiar,1718.0,
    1.4.-Otros contra las personas,2020.0,
    2. CONTRA LA LIBERTAD,909.0,
    2.1.-Malos tratos habituales en el ámbito familiar,363.0,
    2.2.-Otros contra la libertad,546.0,
    3. LIBERTAD SEXUAL,227.0,
    3.1.-Agresión sexual,42.0,
    3.2.-Agresión sexual con penetración,25.0,
    3.3.-Corrupción de menores o incapacitados,17.0,
    3.4.-Pornografía de menores,16.0,
    3.5.-Otros contra la libertad e indemnidad sexual,127.0,
    4. RELACIONES FAMILIARES,210.0,
    5. PATRIMONIO,30042.0,
    5.1.-Hurtos,12775.0,
    5.2.-Robos con fuerza en las cosas,5958.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1255.0,
    5.2.2.-Robos con fuerza en viviendas,1894.0,
